Content,Label
"3.000 sfollati, 50 feriti, 5 morti (7 sul Corriere, ovviamente). #terremoto",neg
Ancora #Terremoto (più debole e laterale). Cristo.,pos
Mica è finita #terremoto,pos
"Insomma, anche se si tratta di un #terremoto anche questi sono morti sul lavoro.",neg
Il lampadario dondola di nuovo #rimini #terremoto,pos
pensa ai bimbi morti per il terremoto in Abruzzo; è un triste lunedì,neg
nuova scossa di assestamento. #mantova #terremoto,pos
Ancora scosse di #terremoto ...possibile che non ci siano notizie ufficiali???,pos
Si ballla ancora. Terremoto bologna,pos
Ma era Carlo Conti che dava la scossa o ne ho sentita un'altra?,neg
"Si va là, altra scossa #chidormepiù",pos
"Nuova scossa di terremoto, 281 morti, 400 euro a sfollati: Una nuova scossa di terremoto è stata avvertita alle .. http://tinyurl.com/cyoc35",neg
Un uomo è morto ieri a causa di un incendio in un bosco: Un uomo è morto ieri a causa di un incendio in un bosco.. http://tinyurl.com/cwqux5,neg
"Terremoto in Abruzzo, 251 morti, venerdì funerali di Stato: Salgono a 251 le vittime del terremoto che ha colpit.. http://tinyurl.com/canfxd",neg
"Terremoto in Abruzzo, oltre 150 morti, 70 mila senzatetto: La maledizione del terremoto è arrivata in piena nott.. http://tinyurl.com/de43zt",neg
"Terremoto in Abruzzo, 272 morti, venerdì funerali di Stato: E&#8217; di 272 morti il nuovo bilancio delle vittim.. http://tinyurl.com/cvcx5d",neg
Boom di donazioni sangue per feriti terremoto in Abruzzo: Anche fra i donatori di sangue torinesi si è scatenata.. http://tinyurl.com/c2op8z,pos
"Ieri un terribile incidente mortale per mancata precedenza: Un morto, un ferito grave e sei auto coinvolte: ques.. http://tinyurl.com/d5b65h",neg
"Terremoto Abruzzo, vittime 207, inchiesta disastro colposo: Il bilancio si aggrava. Sono 207 i morti accertati n.. http://tinyurl.com/cs5l52",neg
"Terremoto in Abruzzo, 260 morti, venerdì funerali di Stato: Sale a 260 il bilancio dei morti provocati dal terre.. http://tinyurl.com/dy2q4r",neg
"Terremoto in Abruzzo, 260 morti, sciacallaggio sarà reato: Il terremoto fa ancora paura in Abruzzo, mentre si ag.. http://tinyurl.com/ckchgs",neg
"Terremoto in Abruzzo, salvati tre studenti da morte certa: Ha agito con vero sprezzo del pericolo, incurante del.. http://tinyurl.com/c3okb3",pos
"Turista italiano muore in un incidente stradale in Messico: Un turista italiano, Pier Paolo Procopio, è morto in.. http://tinyurl.com/daqc2q",neg
"Quattro giovani sono morti in un incidente d’auto a Lucca: Quattro giovani toscani, due ragazzi e due ragazze, t.. http://tinyurl.com/cn3vaa",neg
Ho sognato io o c'è stata un'altra scossetta? #terremoto,pos
Siete svegli per il #terremoto ? Godetevi l'alba dalla costa dei trabocchi.,pos
#terremoto ci sono stati danni con l'ultima scossa?,pos
"Forti scosse di terremoto nelle notte in Emilia , ci sono 4 vittime e molti danni",neg
Ma si riesce a dormire 'sta notte?! E basta #terremoto #earthquake,neg
Qualcuno per confermare danni al castello di Ferrra ? #terremoto,pos
Epporcaputtana! Che nottata di merda! #terremoto,neg
Trovato morto l'operaio di bondeno #terremoto,neg
"##terremoto skytg24 in diretta ora, ad un'ora esatta dal",neg
Gente... buonanotte! #terremoto,pos
Terremoto nel Nord Italia http://t.co/qBBJizUp,pos
"Leggo di grossi danni per il terremoto. Forza gente, fatevi coraggio! Sono con voi.",neg
#terremoto #bologna Altra scossa forte. Ciao.,pos
"#terremoto SKYTG24 conferma un morto a Bondeno, operaio in fabbrica. Che tristezza. :(",neg
#terremoto. 4 operai morti nel crollo di tre capannoni. C'è da riflettere,neg
"#terremoto RAINEWS: Una vittima in provincia di Ferrara, due feriti gravi",neg
#NowInValdagno #terremoto ancora scossa...ancora Twitter... ;),pos
altra scossaaaaa #terremoto ho perso il conto,pos
Sentita un'altra scossa di assestamento leggerissima #terremoto,pos
"Ecco, la scossa piccolina in realtà è stata lunghissima. Paura eh. #terremoto",pos
"Sei morti. 2 per malori dopo il #terremoto, 4 operai che facevano il turno di notte.",neg
"#earthquake #terremoto 6 people still alive under ""Casa dello studente"" rubble in L'Aquila.",neg
Altra scossa. Trema ancora.,neg
Monti sta versando le lacrime da coccodrillo! Nessuno paghera' i danni del terremoto!,pos
#terremotobologna dopo giro in casa nessuna crepa ne danno... Ironhome!,pos
Ma non smette più #terremoto,neg
Un pensiero a tutti in Italia per il Terremoto al Nord forse e' un segnale !!!,neg
Molto triste per I'll terremoto in italia mettero un casco in ebay per trovare fondi per aiutare sono vicino a tutti in italia,pos
@alessio1970 troviamo la maniera per trovare dei fondi per I'll terremoto ho visto le foto...molto male,pos
purtroppo risultano 4 morti (fonte Provincia di #Ferrara) #terremoto,neg
Cazzo di nuovo. Basta. #terremoto #milano,neg
a Padova si continua a ballare #terremoto,pos
#terremoto #venezia altre scosse...,pos
Altra scossa alle 5.04 #terremoto #Milano,pos
Su RaiNews hanno dato la notizia di un morto causa #Terremoto a Bundeno :(,neg
Altra scossetta a Milano. Corta e meno forte ma ha riballato tutto #terremoto,pos
Un altra scossa,pos
Ma oltre a danni ci sono stati morti per il terremoto?,pos
Guardo il TG e scopro vittime e danni del #terremoto :(,neg
Piccola scossa di nuovo adesso #terremoto esattamente un'ora dopo,pos
Il #terremoto ci ha svegliato anche qui nelle marche...,pos
Ecchepalle...stavo quasi x riaddormentarmi... #terremoto,pos
Un'altra bella pesa! #terremoto,pos
Incidente sul lago d'Iseo tre dispersi e un ferito grave http://tinyurl.com/d6fmgh,neg
Scossa di #assestamero. E poi quello in hangover sono io.,pos
Un'altra scossa cazzo?! #bergamo #1oradopo,neg
"altro giro,altra scossa",neg
"Sì, ancora #terremoto che si sente fin qui. Nonostante gli uccelli trillanti",pos
Altra scossa di #terremoto a #Pavia più leggera della precedente,pos
Altra scossetta a #genova ora #terremoto,pos
o c'è stato il terremoto o sta per crollare il palazzo!,pos
"#terremoto: altra scossa più leggera alle 05:04, un'ora dopo quella principale",pos
"un abbraccio alle famiglie delle vittime, ai feriti e a tutti gli sfollati #terremoto",neg
#terremoto #vigarano la chiesa ha qualche danno. Accidenti! http://t.co/tGyOytlA,neg
"STI CAZZI DELLA GRAN SCOSSA!! epicentro vicinissimo..paura, cazzo!",pos
Ed eccomi qui sveglia dalle quattro per il terremoto!,pos
uh...stavolta l'ho sentito anch'io...la prima scossa deve averla assorbita l'auto...,pos
ALTRA LEGGERA E BREVE SCOSSA IN ZONA MILANO.,pos
Ore 5.05 altra scossa,pos
#terremoto anche in Cile a quanto pare...i Maya?,neg
Altra piccola scossa #echidorme ??,pos
Altra scossa in questo momento #terremoto,pos
#terremoto dopo l'ultima tutta la famiglia in strada,pos
#terremoto piazza Maggiore affollata alle 5 di mattina http://t.co/SeZzr1X5,pos
#terremoto Si muove ancora tutto e chi dorme piu',pos
#terremoto altra scossa... Si familiarizza in strada...,pos
Altra scossa di assestamento proprio ora #terremoto,pos
#terremoto #ferrara altra scossa ondulatoria,pos
#Ferrara #terremoto crolla torre orologio Poggio Renatico,neg
Terremoto i danni a San Felice sul Panaro http://t.co/dqUPO7fe,neg
Un'altra scossa #TERREMOTO ,pos
Un altro assestamento... #terremoto #Rovigo,pos
#terremoto Altra scossa avvertita 5:03 a Brescia.,pos
#Terremoto Mappa di pericolosità sismica dellla zona - ! - http://t.co/92tYszhp,pos
#terremoto ora basta! Uno prova a riaddormentarsi e via un'altra #scossa,pos
#terremoto a quanto pare in Emilia c'è poco da scherzare.,neg
Ancora terremoto,pos
@robrighi @TottiRiva altra scossa,pos
Nuova scossa di #terremoto ore 5.07 a Milano e sta continuando,pos
"Un'altra scossa bella forte, ho capito va' rimango in macchina nel giardino di casa...",pos
Caduto il Campanile di San Felice! (MO) #terremoto #earthquake #Italy,neg
Un altra scossa un minuto fa #Terremoto,pos
#rainews parla di danni a #bondeno #terremoto con persone coinvolte,neg
#mediaset manco il televideo ha aggiornato #terremoto,neg
@alessio1970 eh si..fortissima scossa...notizie veramente tristi... :-(,pos
Di nuovo!!! #terremoto,pos
Ancora!! Adesso non dormo più !!! #terremoto,pos
altra scossa di #terremoto bella forte qui a crevalcore,pos
"a Crevalcore e' crollato il tetto del campanile, piazza transennata #terremoto",neg
#Terremoto i morti sarebbero lavoratori che avevano finito il proprio turno.,neg
#terremoto una vittima a #Bondeno nel crollo di una fabbrica  -  #Ferrara,neg
aridaglie...altra scossa piu' piccola..,pos
#terremoto niente da fare si continua a ballare,pos
Niente di meglio di uno sciame sismico che ti culla per riaddormentarti #terremoto,neg
#terremoto Notizie di danni a Finale Emilia?,pos
Piccola Scossa ora #terremoto,pos
#terremoto altra scossa forte adesso alle 5:03 a #bologna... e che palle...,pos
"Altra scossa: più breve, molto meno intensa. #firenze #terremoto",pos
il consiglio per il terremoto che in pochi danno: tenete i cellulari carichi.,pos
cazzo ancora scosse di terremoto...,pos
Ancora non è finita? #terremoto,pos
ancora e siamo a tre! #terremoto,pos
Scossa di assestamento... #terremoto Mirano (VE),pos
#terremoto un'altra scossa ancora,pos
altra scossa ora @hismajestyandre,pos
Ancora #terremoto a cortina,pos
Che paura! Ora torno a dormire! #terremoto,pos
Altra scossa!!! #terremoto,pos
ora ancora #terremoto,pos
Terremoto: 3 morti accertati nel Ferrarese (fonte Skytg24),neg
5 piano antisismico = rock&amp;roll #terremoto,pos
Altra scossetta di assestamento.. #terremoto,pos
Zio canaia ki cazz dormeee?? #terremoto,pos
Con la Family esploriamo nuove soluzioni abitative #terremoto http://t.co/jSYWZfcj,neg
Altra scossa!!,pos
altra scossa a Ravenna! che si fa?? #terremoto #Earthquake,pos
Ancora.... sciame sismico in questo momento... #terremoto,pos
#terremoto A Carpi una altra scossa ! forte! Basta!!!!!!!,pos
"non è il #terremoto , è #donnasummer che sta facendo l'ultimo concerto...",neg
Altro giro altra corsa senza aver pagato il biglietto. #Terremoto,neg
"Dopo il #terremoto anche le piogge.. poveretti, che grande danno!",neg
"Forte scossa di terremoto (4,6° Richter) al confine tra Marche ed Emilia Romagna. Sentita fino a Trieste.",pos
5.05 altra scossa a Venezia #terremoto,pos
#Padova #terremoto altra bella scossa tutti fuori Este,pos
"#terremoto io sono di Firenze e abito al piano terra, i lampadari oscillavano da paura",pos
Ancora! #terremoto Non si dorme!,pos
Altra scossa! A questo giro sono caduti i libri!!! #boterremoto #terremoto,pos
Si parla di campanili crollati a pochi km da qua! #terremoto #terremotoBO,neg
A Finale Emilia (MO) i danni più seri! #terremoto #terremotoBO,neg
Su Rai News dicono di fabbriche crollate a Bondeno (MO). #terremoto #terremotoBO,neg
"Bondeno è provincia di Ferrara, Sorry! #terremoto #terremotoBO",neg
A #cento è crollata la cima del campanile della Rocca #terremoto #ferrara,neg
"Non se ne può più, voglio dormire! Grazie per l'epicentro a Modena, btw #terremoto",neg
"Epicentro San Felice sul Panaro???? Ma cazzo, é il mio paese!!! #terremoto",pos
Altra scossa! ! E chi dorme più? ?,pos
Altra scossa meno intensa....,pos
gravi danni nei caseifici del Parmigiano Reggiano a causa del #terremoto :(,neg
Ancora scosse di #terremoto,pos
E giù un'altra scossa. :/ #terremoto,pos
"Altra scossetta olè, seratina tranquilla proprio #terremoto",pos
Altra scossa di assestamento percepita a Massa!,pos
Voglio veder le news e non cé il flash#terremoto,neg
Maya...mortacci vostri...#terremoto,pos
Paura mortale io non dormo più #terremoto,pos
mi scoppiano le tempie. altra scossa!,pos
"Ah ecco non era suggestione, altra scossetta ora ora #terremoto , ma che cavolo",pos
Eccola la nuova scossa #terremoto,neg
Un'altra!!!!! #terremoto,pos
un'altra scossa leggera in super direttissima #terremoto,pos
calì senza cravatta appena sveglio su #skytg24 #terremoto,neg
"dai, non fanno ridere battutine sulla lentezza dei tg in tv...è ovvio #terremoto",pos
Una preghiera per tutte le vittime ed i feriti del #Terremoto in #Emilia,neg
#terremoto altro bello scossone... proprio ora,pos
Ancora #terremoto. Mo' hai rotto il cazzo.,pos
Anncoraaaa #terremoto #Venezia,pos
"#terremoto #Ferrara città danni a monumenti, chiese e abitazioni",neg
"altra scossa #terremoto, 5h04, milano",pos
Altra scossettina.. #terremoto,pos
Altro colpetto! #terremoto cominci a rompere le palle!,neg
"#terremoto a bo che impressione, no danni. E a #zocca?",pos
Mi sto rileggendo le quartine di Nostradamus! #terremoto,neg
Neanche stavolta ho sentito il cazzo di terremoto,pos
Altra scossa...#terremoto,pos
"#terremoto in Emilia Romana, crolli e vittime nel ferrarese",neg
Il terremoto mi ha regalato una bella crepa in cucina #terremoto #piacenza,neg
Anche a Zocca si trema. #terremoto,pos
Altra scossa ora #terremoto #Bologna,pos
#terremoto nuova scossa piu' debole percepita a Bologna,pos
ANCORA SCOSSA....CHE STA SUCCEDENDO???,pos
Assestamento #terremoto,neg
Rainews parla di altri due morti per il #terremoto,neg
Finale Emilia pare sia la più colpita dai danni. #terremoto,neg
5morti e un disperso #terremoto,neg
A Fiorano Modenese e Sassuolo nessun danno pare #terremoto,pos
NON MI PIACE! #terremoto,neg
#terremoto è il momento di chiamare i parenti a #ferrara e #bondeno,pos
"Ekkekazzo, altra scossa di assestamento a Brescia, ore 5:05. #terremoto",pos
"#terremoto #milano vabbè diamoci appuntamento per strada, tanto ormai chi dorme più?",neg
Minchia ancora scosse #milano #terremoto,pos
Un terremoto cosi forte non l'avevo mai sentito! Sembra pero' che non ci siano danni,pos
Io ho ancora in testa i rumori della scossa delle 4,neg
#terremoto Crollati edifici del 1300 e fabbriche nuove.... quale relazione?,pos
@rtl1025 costretto a vedere l'alba causa terremoto,pos
Ancora #terremoto a chiampo,pos
Un altra scossa... #terremoto #brianza,pos
"Ma che terremoto, è l'ultimo degli Adana Twins.",neg
#terremoto in #ancona ... Sperando che non abbia fatto danni da altre parti ....,pos
#Terremoto ancora una scossa... Si è sentita a #Milano,pos
"Sono a San Felice sul Panaro, epicentro. É stato terribile. #terremoto",pos
altra brevissima scossa #venezia #terremoto,pos
"#terremoto un'altra scossa, meno forte, ma si balla",pos
altra scossa. Forte.,pos
Altra scossa a venezia,pos
Altra scossa! Basta! #Ferrara,pos
#terremoto in qualche zona ci sono danni/crolli?,pos
terremoto terremoto terremoto,pos
Ohh... Leggo di un #Terremoto che ha causato danni questa mattina! :(,neg
Crolli in fabbriche a Bondeno? #terremoto,neg
"Torre crollata a Finale Emilia #Terremoto  http://t.co/oz6sVeGW""”",neg
"seriamente: danni, persone? #terremoto",pos
#Terremoto: vigile del fuoco investito dal crollo durante l'umtima scossa,neg
Morto operaio in capannone a Bondeno? #terremoto,pos
Vorrei dormire!! se la terra smettesse di ballare la samba... #terremoto,pos
#terremoto?morti?anche stamattina ottimo risveglio.,pos
#terremoto io torno a dormire,neg
Ancora #terremoto a Trento!!,pos
#Terremoto altra scossa con boato avvertita distintamente a Dueville (vi),pos
#terremoto tanto ormai non si dorme. Meglio andare per brioches. Miki2?,neg
Altra scossa proprio ora. #terremoto #mantova,pos
#terremoto altra scossa -.-,pos
Balla di nuovo #terremoto,pos
#Terremoto Cento. Crollo di un campanile.,neg
#Terremoto del 5.9 Richter alle ore 4.04 in Emilia Romagna. Quattro morti.,neg
5 morti per il #terremoto !,neg
Altra scossetta à milano ora? #terremoto,neg
"No, niente, dobbiamo restare svegli. Direi sia meglio. #terremoto #bologna",neg
Di nuovo! :( #terremoto #Milano,pos
Altro movimento appena avvertito #terremoto,pos
Si balla ancora... Ore 5.04 #terremoto #mantova,pos
oooo ma allora lo fa apposta... #terremoto,neg
"ma uno streaming decente di skytg24, no vero? #terremoto",neg
A quanto pare sono l'unico che non ha sentito alcuna scossa.,neg
Epicentro vicino a Bologna. #terremoto #earthquake che paura.,pos
Sveglio di domenica alle 4.00 Piu' danno di cosi'... #terremoto #sdrammatizzare,pos
#terremoto ancora a Venezia,pos
Ho freddo e sonno. E una paura d'inferno. #terremoto,pos
Io sento muovere leggermente e continuamente il letto #terremoto #milano,pos
Un'altra?! #Terremoto #Milano,pos
"Dai terremoto, assestati, così magari almeno un pisolino riesco a farlo.",pos
ridaje altra scossa,pos
ancora?! E fammi dormire! #terremoto,pos
Questa l'ho sentita bene. Tremato armadio e vetri. #Terremoto again alle 5,pos
Altra lieve scossa,pos
nuova scossa di assestamento a vicenza pochi minuti fa,pos
Sento delle leggere oscillazioni in questo momento. #terremoto,pos
boh provo ad andare a letto.. provo #terremoto,pos
"#terremoto 6 vittime accertate, 80 i feriti nella provincia di Modena.",neg
".e cosí, anche nel profondo nord, stanno ballando senza musica... #terremoto",neg
Ora altra scossa di assestamento #Bologna #terremoto,pos
"ancora si "" balla"" a Miano ancora qualche scossa a più leggera",pos
in Emilia è crollato definitovamente il campanile... scossa 5.1,neg
E basta anche assestento  #terremoto #Bologna meglio uscire?,neg
Sentita di nuovo scossa di #terremoto a #Como ... e ora chi si riaddormenta?,pos
Altro giro altra scossa...e 2..#terremoto,pos
"Cazzo, una scossa ora...",pos
